States (43),TANF/MOE Program Description,Asset Limit of TANF/MOE Program,Gross Income Limit of TANF/MOE Program 1
Alabama,All households are eligible (brochure),No limit on assets2,1.3
Arizona,All households are eligible (referral on application),No limit on assets,1.85
California,All households are eligible (pamphlet),No limit on assets,2.0
Colorado,All households are eligible (notice on application),No limit on assets2,2.0
Connecticut,All households are eligible (Help for People in Need brochure),No limit on assets,1.85
Delaware,All households are eligible (application refers to pregnancy prevention hotline),No limit on assets,2.0
District of Columbia,All households are eligible (brochure),No limit on assets,2.0
Florida,All households are eligible (notice),No limit on assets,2.0
Georgia,All households are eligible (TANF Community Outreach Services brochure),No limit on assets2,1.3
Guam,All households are eligible (brochure),No limit on assets,1.65
Hawaii,All households are eligible (brochure),No limit on assets,2.0
Idaho,All households are eligible (flyer about referral service),5000,1.3
Illinois,All households are eligible (guide to services brochure),No limit on assets2,1.65
Indiana,All households are eligible (brochure),5000,1.3
Iowa,All households are eligible (notice of eligibility),No limit on assets,1.6
Kentucky,All households are eligible (resource guide),No limit on assets2,1.3
Maine,All households are eligible (resource guide),5000,1.85
Maryland,All households are eligible (referral to services on application),No limit on assets,2.0
Massachusetts,All households are eligible (brochure),No limit on assets2,2.0
Michigan,All households are eligible (notice on application),"$5,000 (first vehicle is excluded; other vehicles with fair market value over $15,000 are counted)",2.0
Minnesota,All households are eligible (domestic violence brochure),No limit on assets,1.65
Mississippi,All households are eligible (language on notice),No limit on assets,1.3
Montana,All households are eligible (brochure),No limit on assets,2.0
Nebraska,All households are eligible (pamphlet),"$25,000 for liquid assets",1.3
Nevada,All households are eligible (pregnancy prevention information on application),No limit on assets,2.0
New Hampshire,Households with at least one dependent child are eligible (brochure),No limit on assets,1.85
New Jersey,All households are eligible (brochure),No limit on assets,1.85
New Mexico,All households are eligible (brochure),No limit on assets,1.65
New York,"Households with dependent care expenses are eligible (""Helping Hands brochure mailed yearly)""",No limit on assets2,2.0
New York EI,"Households with earned income are eligible (""Helping Hands brochure mailed yearly)""",No limit on assets2,1.5
North Carolina,All households are eligible,No limit on assets,2.0
North Dakota,All households are eligible (Statement on application/ recertification forms and pamphlet),No limit on assets,2.0
Ohio,All households are eligible (Ohio Benefit Bank info on approval notice),No limit on assets2,1.3
Oklahoma,All households are eligible (2- 1-1 number for information and referral to community services),No limit on assets,1.3
Oregon,All households are eligible (pamphlet),No limit on assets,1.85
Pennsylvania,All households are eligible (pamphlet),No limit on assets2,1.6
Rhode Island,All households are eligible (publication),No limit on assets2,1.85
South Carolina,All households are eligible (pamphlet),No limit on assets2,1.3
Texas,All households are eligible (Info on various services provided on application),"Asset limit of $5,000 (excludes 1 vehicle up to $15,000 & includes excess vehicle value)",1.65
Vermont,All households are eligible (bookmark with telephone number and website for services),No limit on assets,1.85
Virgin Islands,All households are eligible (brochure),No limit on assets2,1.75
Washington,All households are eligible (Info & Referral Services provided on approval letter),No limit on assets,2.0
West Virginia,All households are eligible (Information and Referral Services program brochure),No limit on assets2,2.0
Wisconsin,All households are eligible (Job Net Services language on approval and change notices),No limit on assets,2.0
